rm_key Loan_Closed_Date census_block_order_key foa_mgmt_co_dim_key owner_key |Principal Program Detail Code| Stmt_date |Financial Rating Letter Grade| DSC_Ratio_II Current_Ratio |Total Total Funds Flow Prior to CE & D/S (Line 62)| |Total Replacement Reserve Reimbursements (Line 18A)| |Total Interest Income Earned on R/R and Special Escrow (Line 78)| |Total Gross Debt Service - Mortgage (MHFA) (Line 66)| |Total Gross Debt Service - Energy Loans (Line 68)| |Total Current Assets (Line 230)| |Total Current Liabilities (Line 280)| |Current Portion of Mortgage Payable (Line 251)| |Notes & Advances - due within 1 year (Line 252)| |Gross Sf Residential| |Gross Sf Residential Communal| |Gross Sf Residential Noncommunal| |Gross Sf Commercial| |Gross Sf Unfinished Space| |Gross Sf Parking Structure| |Square Footage Net Rentable| |Square Footage Residential Net Rentable| |Square Footage Commercial Net Rentable| |Number Of Buildings| |Number Of Predominant Stories| |Number Of Elevators| |Total Gross Sf Land| |Total Gross Sf Buildings| |Total Rental Units| |Low Income Rental Units| |Moderate Income Rental Units| |Market Rate Rental Units| |Non_revenue Rental Units| |Elderly Restricted Rental Units| |Unrestricted Rental Units| |Student Rental Units| |Other Restricted Rental Units| |Fully Access Handicapped Rental Units| |Partially Access Handicapped Rental Units| |Average Bedroom Density| |Studio Rental Units| |One Bedroom Rental Units| |Two Bedroom Rental Units| |Three Bedroom Rental Units| |Four Bedroom Rental Units| |Five Bedroom Rental Units| |Six Bedroom Rental Units| change_housing_index perc_low_income perc_mod_income perc_market_rate perc_nonrevenue perc_elderly_restricted perc_unrestricted perc_student perc_other_restricted perc_fully_access_handi perc_part_access_handi perc_studio perc_1bed perc_2bed perc_3bed perc_4bed perc_5bed perc_6bed ratio_2bed_studio ratio_2bed_1bed ratio_2bed_3bed ratio_2bed_4bed ratio_2bed_5bed ratio_2bed_6bed
21 7/8/1971 93 229 77 MISC 12/31/1995 A 1.43 4.38 162,007 0 11,126 105,659 0 159,977 67,027 30,520 0 69,736 7,584 62,152 0 0 2,160 64,320 64,320 0 6 3 0 109,771 69,736 72 18 54 0 0 0 72 0 0 4 0 1.83 0 12 60 0 0 0 0 0.124 0.25 0.75 0.0 0.0 0.0 1.0 0.0 0.0 0.05555555555555555 0.0 0.0 0.16666666666666666 0.8333333333333334 0.0 0.0 0.0 0.0 1 5.0 1 1 1 1
22 5/20/1971 1064 494 147 S8SUBR 12/31/1995 A 1.26 5.05 148,119 8,606 2,207 108,907 0 171,978 55,434 21,407 0 38,896 4,291 34,605 0 0 2,118 39,600 39,600 0 16 3 0 31,197 41,014 45 45 0 0 0 0 45 0 0 0 0 2.51 0 2 18 25 0 0 0 0.124 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.044444444444444446 0.4 0.5555555555555556 0.0 0.0 0.0 1 9.0 0.72 1 1 1
23 11/11/1971 1188 231 40 SEC236 12/31/1995 A 1.1 3.27 101,390 6,890 2,752 83,529 0 65,441 30,732 10,723 0 190,000 0 190,000 0 0 0 10,800 10,800 0 1 4 0 6,000 190,000 22 22 0 0 0 0 22 0 0 0 0 1.27 0 16 6 0 0 0 0 0.124 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.7272727272727273 0.2727272727272727 0.0 0.0 0.0 0.0 1 0.375 1 1 1 1
24 8/12/1971 273 83 75 INTERN 12/31/1995 A 1.14 2.07 364,675 64,215 27,765 239,973 0 293,596 219,585 77,805 0 128,439 1,500 126,939 7,700 0 0 127,481 120,436 7,045 1 9 2 0 136,139 164 33 0 131 0 0 164 0 0 0 0 1.1 17 114 33 0 0 0 0 0.124 0.20121951219512196 0.0 0.7987804878048781 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.10365853658536585 0.6951219512195121 0.20121951219512196 0.0 0.0 0.0 0.0 1.9411764705882353 0.2894736842105263 1 1 1 1
25 2/17/1972 378 49 85 SEC236 12/31/1995 D 0.65 1.19 440,018 165,875 58,648 333,926 0 210,638 237,168 60,388 0 221,175 29,220 191,955 0 0 1,607 191,720 191,720 0 10 3 0 573,075 221,175 200 50 150 0 0 0 200 0 0 4 0 2.34 0 0 132 68 0 0 0 0.124 0.25 0.75 0.0 0.0 0.0 1.0 0.0 0.0 0.02 0.0 0.0 0.0 0.66 0.34 0.0 0.0 0.0 1 1 1.9411764705882353 1 1 1
26 9/11/1973 907 64 135 SEC13A 12/31/1995 C 0.9 0.9 254,164 37,126 28,622 208,976 0 164,334 220,816 37,408 0 98,302 4,044 94,258 1,260 0 0 68,609 67,349 1,260 2 4 0 51,152 99,562 97 37 60 0 0 0 97 0 0 0 0 1.6 8 29 54 6 0 0 0 0.124 0.38144329896907214 0.6185567010309279 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.08247422680412371 0.29896907216494845 0.5567010309278351 0.061855670103092786 0.0 0.0 0.0 6.75 1.8620689655172413 9.0 1 1 1
27 11/11/1971 1012 223 82 RAD 12/31/1995 A 2.4 3.52 26,411 0 249 10,894 0 21,149 9,735 3,734 0 12,158 0 12,158 0 0 0 6,665 6,665 0 1 3 0 9,972 12,158 9 3 6 0 0 0 9 0 0 0 0 2 0 0 9 0 0 0 0 0.124 0.3333333333333333 0.6666666666666666 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1 1 1 1 1 1
28 4/11/1972 331 149 156 RAD 12/31/1995 A 1.62 4.37 515,227 59,942 31,363 262,242 0 339,926 153,750 75,905 0 150,408 3,998 146,410 0 0 0 154,208 154,208 0 22 3 0 786,170 150,408 160 40 120 0 0 0 160 0 0 3 0 1.89 0 42 94 24 0 0 0 0.124 0.25 0.75 0.0 0.0 0.0 1.0 0.0 0.0 0.01875 0.0 0.0 0.2625 0.5875 0.15 0.0 0.0 0.0 1 2.238095238095238 3.9166666666666665 1 1 1
29 7/31/1974 587 148 155 SEC13A 12/31/1995 A 2.52 1.42 729,999 173,996 41,473 204,412 0 285,727 242,102 40,576 0 88,890 0 88,890 0 0 0 83,880 83,880 0 11 2 0 452,153 88,890 96 24 72 0 0 0 96 0 0 3 0 1.73 0 36 50 10 0 0 0 0.124 0.25 0.75 0.0 0.0 0.0 1.0 0.0 0.0 0.03125 0.0 0.0 0.375 0.5208333333333334 0.10416666666666667 0.0 0.0 0.0 1 1.3888888888888888 5.0 1 1 1
30 4/24/1973 864 228 51 SEC236 12/31/1995 B 1.01 0.51 47,779 14,637 2,470 30,496 0 21,442 47,664 5,934 0 11,600 1,500 10,100 1,400 0 0 10,005 8,605 1,400 1 6 1 4,459 13,000 15 0 15 0 0 14 1 0 0 1 0 1.07 1 12 2 0 0 0 0 0.124 0.0 1.0 0.0 0.0 0.9333333333333333 0.06666666666666667 0.0 0.0 0.06666666666666667 0.0 0.06666666666666667 0.8 0.13333333333333333 0.0 0.0 0.0 0.0 2.0 0.16666666666666666 1 1 1 1
31 5/22/1974 455 147 154 SEC236 12/31/1995 F 0.88 0.64 266,630 34,070 27,315 234,420 0 139,422 254,171 37,500 0 72,000 0 72,000 0 0 0 63,900 63,900 0 1 7 2 0 72,000 94 38 56 0 0 94 0 0 0 0 0 1.14 0 81 13 0 0 0 0 0.124 0.40425531914893614 0.5957446808510638 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.8617021276595744 0.13829787234042554 0.0 0.0 0.0 0.0 1 0.16049382716049382 1 1 1 1
32 4/11/1972 568 318 52 INTERN 12/31/1995 B 1.37 0.74 786,562 57,651 0 531,738 0 257,639 456,153 105,674 0 154,072 11,147 142,925 13,500 0 29,248 97,515 85,115 12,400 1 16 3 14,419 196,820 127 25 0 102 0 0 127 0 0 0 0 1.14 16 83 22 6 0 0 0 0.124 0.1968503937007874 0.0 0.8031496062992126 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.12598425196850394 0.6535433070866141 0.1732283464566929 0.047244094488188976 0.0 0.0 0.0 1.375 0.26506024096385544 3.6666666666666665 1 1 1
33 10/1/1971 73 319 65 RADDEC 12/31/1995 B 1.03 0.67 252,268 23,292 1,701 209,654 11,780 77,049 143,795 28,700 0 105,134 5,772 99,362 0 0 0 97,552 97,552 0 12 3 0 489,375 105,134 100 58 42 0 0 0 100 0 0 0 0 2.48 0 36 12 25 22 5 0 0.124 0.58 0.42 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.36 0.12 0.25 0.22 0.05 0.0 1 0.3333333333333333 0.48 0.5454545454545454 2.4 1
34 2/29/1972 773 140 150 SEC236 12/31/1995 A 2.11 5.58 1,246,585 277,409 31,166 444,792 0 2,792,795 613,062 108,389 4,580 252,013 5,162 246,851 0 0 11,810 201,150 201,150 0 16 3 0 650,351 263,823 201 181 20 0 0 0 201 0 0 5 0 2.5 0 30 70 71 30 0 0 0.124 0.900497512437811 0.09950248756218906 0.0 0.0 0.0 1.0 0.0 0.0 0.024875621890547265 0.0 0.0 0.14925373134328357 0.3482587064676617 0.35323383084577115 0.14925373134328357 0.0 0.0 1 2.3333333333333335 0.9859154929577465 2.3333333333333335 1 1
35 5/23/1973 753 229 15 RAD 12/31/1995 A 1.12 1.19 1,033,922 225,183 8,153 713,225 0 320,435 388,989 120,482 0 236,640 4,218 232,422 0 0 0 231,640 231,640 0 20 2 0 889,715 236,640 300 75 200 25 0 0 300 0 0 0 0 1.41 0 176 124 0 0 0 0 0.124 0.25 0.6666666666666666 0.08333333333333333 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.5866666666666667 0.41333333333333333 0.0 0.0 0.0 0.0 1 0.7045454545454546 1 1 1 1
36 9/11/1973 103 99 69 SEC236 12/31/1995 A 0.93 3.18 259,286 85,770 4,879 181,803 0 343,050 142,005 34,000 0 129,908 38,148 91,760 0 0 0 91,760 91,760 0 11 3 0 402,930 129,908 100 25 56 19 0 0 100 0 0 1 0 1.96 0 16 72 12 0 0 0 0.124 0.25 0.56 0.19 0.0 0.0 1.0 0.0 0.0 0.01 0.0 0.0 0.16 0.72 0.12 0.0 0.0 0.0 1 4.5 6.0 1 1 1
37 3/6/1973 516 149 156 INTERN 12/31/1995 A 1.3 1.35 1,925,812 404,761 59,290 1,127,000 0 1,166,392 1,086,174 223,862 0 504,000 19,000 485,000 2,000 0 0 374,500 372,500 2,000 3 14 6 0 506,000 465 377 0 88 0 173 292 0 0 27 0 1.6 0 184 281 0 0 0 0 0.124 0.810752688172043 0.0 0.18924731182795698 0.0 0.3720430107526882 0.6279569892473118 0.0 0.0 0.05806451612903226 0.0 0.0 0.3956989247311828 0.6043010752688172 0.0 0.0 0.0 0.0 1 1.5271739130434783 1 1 1 1
38 7/13/1972 812 92 36 SEC13A 12/31/1995 A 1.48 1.91 924,298 96,034 4,465 555,105 0 387,405 304,817 101,568 0 173,040 3,000 170,040 8,000 0 0 144,584 136,584 8,000 1 22 2 49,940 181,040 213 3 157 53 0 0 213 0 0 2 0 1.3 22 106 85 0 0 0 0 0.124 0.014084507042253521 0.7370892018779343 0.24882629107981222 0.0 0.0 1.0 0.0 0.0 0.009389671361502348 0.0 0.10328638497652583 0.49765258215962443 0.39906103286384975 0.0 0.0 0.0 0.0 3.8636363636363638 0.8018867924528302 1 1 1 1
39 6/22/1972 48 36 109 S8NCON 12/31/1995 A 1.57 2.76 448,249 64,391 12,198 236,272 0 226,001 124,309 42,364 0 135,968 12,568 123,400 0 0 4,100 115,800 115,800 0 5 3 0 308,404 135,968 124 108 15 0 1 0 124 0 0 2 0 1.82 0 34 78 12 0 0 0 0.124 0.8709677419354839 0.12096774193548387 0.0 0.008064516129032258 0.0 1.0 0.0 0.0 0.016129032258064516 0.0 0.0 0.27419354838709675 0.6290322580645161 0.0967741935483871 0.0 0.0 0.0 1 2.2941176470588234 6.5 1 1 1
