rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
201,1/8/2003,1245,89,114,S8NCON,12/31/2009,B,1.3,0.7,"2,424,620","115,111","3,907","1,767,533",0,"983,114","1,976,788","568,386",0,"259,495",,"259,495",,,,,,,2,9,4,,"259,495",302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
201,1/8/2003,1245,89,114,S8NCON,12/31/2010,B,1.41,0.83,"2,580,090","93,624","1,775","1,768,225",0,"1,094,200","1,915,199","600,392",0,"259,495",,"259,495",,,,,,,2,9,4,,"259,495",302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
204,4/29/2004,28,148,123,S8NCON,12/31/2005,A,1.16,5.95,"228,014","17,902","6,294","175,840",0,"142,665","40,642","16,670",0,"4,983","2,395","2,588",,,,,,,1,3,1,,"4,983",44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
204,4/29/2004,28,148,123,S8NCON,12/31/2006,A,1.23,1.93,"263,720","29,619","10,158","182,675",0,"197,621","121,645","19,195",0,"4,983","2,395","2,588",,,,,,,1,3,1,,"4,983",44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
204,4/29/2004,28,148,123,S8NCON,12/31/2007,B,1.57,0.65,"303,063","4,248","11,334","182,609",0,"82,023","144,769","19,195",0,"4,983","2,395","2,588",,,,,,,1,3,1,,"4,983",44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
204,4/29/2004,28,148,123,S8NCON,12/31/2008,A,1.48,1.16,"336,951","58,870","7,310","182,539",0,"79,660","94,503","25,675",0,"4,983","2,395","2,588",,,,,,,1,3,1,,"4,983",44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
204,4/29/2004,28,148,123,S8NCON,12/31/2009,A,1.23,1.34,"259,469","31,949","2,553","182,772",0,"72,872","74,732","20,500",0,"4,983","2,395","2,588",,,,,,,1,3,1,,"4,983",44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
204,4/29/2004,28,148,123,S8NCON,12/31/2010,A,1.28,2.68,"259,040","24,293",958,"182,386",0,"93,149","58,545","23,750",0,"4,983","2,395","2,588",,,,,,,1,3,1,,"4,983",44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
205,8/22/2003,887,147,154,S8NCON,12/31/2004,A,1.38,3.51,"4,140,324","77,975","48,071","2,913,641",0,"3,549,575","1,635,727","625,748",0,"164,915",,"164,915","10,021",,,0,,,2,8,4,,"174,936",231,229,0,0,2,229,2,0,0,0,0,1.16,0,193,38,0,0,0,0
205,8/22/2003,887,147,154,S8NCON,12/31/2005,A,1.41,3.79,"4,206,989","61,320","55,333","2,900,207",0,"3,964,944","1,714,152","666,685",0,"164,915",,"164,915","10,021",,,0,,,2,8,4,,"174,936",231,229,0,0,2,229,2,0,0,0,0,1.16,0,193,38,0,0,0,0
205,8/22/2003,887,147,154,S8NCON,12/31/2006,A,1.58,3.74,"4,765,187","108,801","64,866","2,898,116",0,"4,058,573","1,796,640","710,301",0,"164,915",,"164,915","10,021",,,0,,,2,8,4,,"174,936",231,229,0,0,2,229,2,0,0,0,0,1.16,0,193,38,0,0,0,0
205,8/22/2003,887,147,154,S8NCON,12/31/2007,A,1.44,2.41,"4,308,461","87,019","59,073","2,891,615",0,"3,468,219","2,195,414","756,770",0,"164,915",,"164,915","10,021",,,0,,,2,8,4,,"174,936",231,229,0,0,2,229,2,0,0,0,0,1.16,0,193,38,0,0,0,0
205,8/22/2003,887,147,154,S8NCON,12/31/2008,A,1.39,2.15,"4,114,312","69,001","29,128","2,884,151",0,"2,765,768","2,094,193","806,279",0,"164,915",,"164,915","10,021",,,0,,,2,8,4,,"174,936",231,229,0,0,2,229,2,0,0,0,0,1.16,0,193,38,0,0,0,0
205,8/22/2003,887,147,154,S8NCON,12/31/2009,A,1.4,1.77,"4,100,052","58,972","9,307","2,880,928",0,"2,300,595","2,155,909","859,027",0,"164,915",,"164,915","10,021",,,0,,,2,8,4,,"174,936",231,229,0,0,2,229,2,0,0,0,0,1.16,0,193,38,0,0,0,0
205,8/22/2003,887,147,154,S8NCON,12/31/2010,A,1.39,1.74,"4,874,392","866,010","4,013","2,882,894",0,"2,277,781","2,225,548","915,226",0,"164,915",,"164,915","10,021",,,0,,,2,8,4,,"174,936",231,229,0,0,2,229,2,0,0,0,0,1.16,0,193,38,0,0,0,0
210,6/27/2007,705,134,130,S8NCON,6/30/2008,A,3.93,2.22,"908,925","162,655","18,849","185,313",0,"169,810","91,714","15,198",0,"32,187","32,187",,,,,"25,750","25,750",,1,,1,,"32,187",50,50,0,0,0,50,0,0,0,5,0,1,0,50,0,0,0,0,0
210,6/27/2007,705,134,130,S8NCON,6/30/2009,A,1.2,1.44,"241,062",0,"5,055","196,488",0,"216,490","166,850","16,217",0,"32,187","32,187",,,,,"25,750","25,750",,1,,1,,"32,187",50,50,0,0,0,50,0,0,0,5,0,1,0,50,0,0,0,0,0
210,6/27/2007,705,134,130,S8NCON,6/30/2010,A,1.22,1.44,"241,651",0,"1,782","196,488",0,"245,877","188,273","17,305",0,"32,187","32,187",,,,,"25,750","25,750",,1,,1,,"32,187",50,50,0,0,0,50,0,0,0,5,0,1,0,50,0,0,0,0,0
215,2/18/2004,193,175,131,S8SUBR,9/30/2005,A,2.15,5.05,"829,139",0,"10,124","381,005",0,"987,615","239,520","43,826",0,"64,069","64,069",,,,,"62,606","62,606",,2,9,2,,"64,069",99,98,0,1,0,98,1,0,0,12,0,1.05,0,94,5,0,0,0,0
